[2026-05-21T16:00:12.524Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 7988, completion-tokens, 399, total-tokens, 8387, cost-ms, 12184, requestId, 021779379200751f29a4d0cd81a043224b6aa94ffec1f6ad84202
[2026-05-21T16:00:20.664Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 7865, completion-tokens, 307, total-tokens, 8172, cost-ms, 7499, requestId, 021779379212665f29a4d0cd81a043224b6aa94ffec1f6aef1da8
[2026-05-21T16:01:01.435Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 4266, completion-tokens, 2484, total-tokens, 6750, cost-ms, 40210, requestId, 021779379220411f29a4d0cd81a043224b6aa94ffec1f6a4f0c16
[2026-05-21T16:04:59.049Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 7974, completion-tokens, 237, total-tokens, 8211, cost-ms, 10190, requestId, 0217793794894560f039f0d1ab0954afd871e23882ebfffcc93ff
[2026-05-21T16:05:08.617Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 8371, completion-tokens, 259, total-tokens, 8630, cost-ms, 8242, requestId, 0217793794995650f039f0d1ab0954afd871e23882ebfffd3bc86
[2026-05-21T16:05:37.659Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 4846, completion-tokens, 1594, total-tokens, 6440, cost-ms, 28511, requestId, 0217793795086480f039f0d1ab0954afd871e23882ebfffb32de6
[2026-05-21T16:07:26.131Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 7968, completion-tokens, 203, total-tokens, 8171, cost-ms, 10764, requestId, 0217793796359747102683077850128b6fd56cdd45d9b14b18d2f
[2026-05-21T16:07:40.722Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 8370, completion-tokens, 382, total-tokens, 8752, cost-ms, 13269, requestId, 0217793796469587102683077850128b6fd56cdd45d9b142c8b4c
[2026-05-21T16:08:29.087Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 4174, completion-tokens, 2230, total-tokens, 6404, cost-ms, 44718, requestId, 0217793796639497102683077850128b6fd56cdd45d9b146ba8b7
[2026-05-22T14:45:24.499Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 8077, completion-tokens, 249, total-tokens, 8326, cost-ms, 9935, requestId, 021779461115551f595b4ab252bbbf122a3441bab534558165768
[2026-05-22T14:45:32.054Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 8498, completion-tokens, 360, total-tokens, 8858, cost-ms, 6115, requestId, 021779461126178f595b4ab252bbbf122a3441bab534558b09e14
[2026-05-22T14:45:52.218Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 4826, completion-tokens, 2437, total-tokens, 7263, cost-ms, 16439, requestId, 021779461135661f595b4ab252bbbf122a3441bab534558fa7682
[2026-05-22T18:36:10.383Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 5241, completion-tokens, 742, total-tokens, 5983, cost-ms, 11459, requestId, 0217795048063481b2dbc63e5aa7997d439dca55a6d387ee9eb3e
[2026-05-22T16:56:43.200Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 9078, completion-tokens, 218, total-tokens, 9296, cost-ms, 7221, requestId, 02177950665579577bc3c6c3ecd00462a341a58c24079a7ac4c98
[2026-05-22T16:56:51.386Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 9314, completion-tokens, 455, total-tokens, 9769, cost-ms, 6078, requestId, 02177950666463377bc3c6c3ecd00462a341a58c24079a75527a5
[2026-05-22T16:57:00.555Z] model, doubao-seed-2-0-mini-260428, mode, default, prompt-tokens, 6433, completion-tokens, 524, total-tokens, 6957, cost-ms, 5140, requestId, 02177950667442277bc3c6c3ecd00462a341a58c24079a7d460fa
